year_month,district,fps_id,fps_name_slug,aay_rc_inter,aay_rc_intra,aay_rc_regular,aay_rc_total,phh_rc_inter,phh_rc_intra,phh_rc_regular,phh_rc_total,summary_aadhaar_authenticated,summary_non_authenticated,summary_other_mode_authenticated,summary_total_e_transaction
2026_03,north_goa,158500100001,158500100001_158500100001___SMT.SANNA_SANJAY_PADTE-83_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_03,north_goa,158500100002,158500100002_158500100002___M_S_P_S_KAREKAR-26_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_03,north_goa,158500100005,158500100005_158500100005___ARPORA_NAGOA_V_K_S_S_STY_LTD-39_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_03,south_goa,158600100001,158600100001_158600100001___ASHA_UTTAM_FAL_DESSAI-2_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_03,south_goa,158600100002,158600100002_158600100002___SHRI_GURUDAS_RAMA_MAHALE-3_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_03,south_goa,158600100003,158600100003_158600100003___V.R.SHENVI-9_FPS,91320.0,2564875.0,19332721.0,21988916.0,817649.0,31709710.0,137024194.0,169551553.0,190102994.0,3294424.0,0.0,193397418.0
2026_04,north_goa,158500100001,158500100001_158500100001___SMT.SANNA_SANJAY_PADTE-83_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
2026_04,north_goa,158500100002,158500100002_158500100002___M_S_P_S_KAREKAR-26_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
2026_04,north_goa,158500100005,158500100005_158500100005___ARPORA_NAGOA_V_K_S_S_STY_LTD-39_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
2026_04,south_goa,158600100001,158600100001_158600100001___ASHA_UTTAM_FAL_DESSAI-2_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
2026_04,south_goa,158600100002,158600100002_158600100002___SHRI_GURUDAS_RAMA_MAHALE-3_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
2026_04,south_goa,158600100003,158600100003_158600100003___V.R.SHENVI-9_FPS,70566.0,2645090.0,19252339.0,21967995.0,636055.0,31892284.0,136524726.0,169053065.0,188050359.0,3775780.0,1113287.0,192939426.0
